year,yearly_avg_temperature
1995,8.411448383254752
1996,7.649079223092177
1997,8.035011514348986
1998,8.161424892865224
1999,8.544932946297404
2000,8.782439396650494
2001,8.298325575663618
2002,8.433940258642583
2003,8.406635532568988
2004,8.298482331335341
2005,8.364826729077182
2006,8.46053343732803
2007,8.899766719223907
2008,8.805188774504021
2009,8.525554207702205
2010,8.19668727409962
