latitude,longitude,trend_degC_per_decade,p_value,lat_idx,lon_idx
45.125,6.125,2.168093119348798,0.00014277222040892196,79,186
44.875,6.125,2.1357203253677914,0.00012243497354787032,78,186
65.625,20.875,2.1240077199680463,0.005762027263427053,161,245
44.625,11.125,2.0812348297664096,0.00018987778142274598,77,206
65.625,21.125,2.0709829011133745,0.0075028665401624,161,246
65.875,20.875,2.0352124635662348,0.007601441290664697,162,245
65.625,20.625,1.9871983123677117,0.006533607963245389,161,244
65.875,21.125,1.9661847986280918,0.009042677372019482,162,246
65.375,20.375,1.9561582367335049,0.0038509158013823193,160,243
44.875,6.375,1.9407147722584859,0.0002939497063452688,78,187
49.125,19.875,1.9366655807409967,0.0005216763767820744,95,241
69.375,25.625,1.8861644715070722,0.01203495967839198,176,264
65.875,20.625,1.880745079900537,0.010765878822230438,162,244
49.125,20.125,1.8770665670079838,0.0004784847951895593,95,242
69.125,25.625,1.8739317655563354,0.012194674258843071,175,264
64.125,19.625,1.8642391349588119,0.012885848454448824,155,240
69.125,25.875,1.852564850023814,0.011583392783451324,175,265
69.375,25.875,1.8492095214979989,0.011547575962930363,176,265
65.375,20.625,1.84241509437561,0.006692964310243383,160,244
45.125,6.375,1.841508748275893,0.00039811310437655255,79,187
