latitude,longitude,trend_degC_per_decade,p_value,lat_idx,lon_idx
32.625,35.625,3.376897623250772,7.869881564720245e-05,29,304
32.625,35.375,3.350755838247447,0.00014631579647809599,29,303
33.125,36.125,3.298012534340659,0.0001386908689720198,31,306
32.875,35.625,3.2650672158042147,5.248664581157927e-05,30,304
32.875,35.875,3.264640430827717,7.449807714913208e-05,30,305
33.125,35.875,3.2594686654897838,0.00019293557723369236,31,305
32.875,36.125,3.2485714168338986,0.00010246934113864383,30,306
32.375,35.125,3.2316435090788116,0.0004296261499458551,28,302
32.375,35.375,3.2281026735410583,0.0002794680694273459,28,303
32.625,35.125,3.2242921682504506,0.00029377193375240457,29,302
33.125,35.125,3.197280632270561,9.731195578190869e-05,31,302
33.125,36.375,3.1971121567946215,0.00013565353982626275,31,307
32.875,35.125,3.1871698400476474,0.00016249303051884731,30,302
33.375,35.375,3.1509902870262065,3.821482554664798e-05,32,303
33.375,36.375,3.145926339285714,0.00013940469599633723,32,307
33.375,36.125,3.123820399190043,0.0002619930232041223,32,306
33.125,35.625,3.1137838678045586,8.347762880577145e-05,31,304
32.625,35.875,3.102562076442844,0.00016680327410432524,29,305
32.375,35.625,3.0811080932617188,0.0002944430825306593,28,304
32.875,36.375,3.0585615137121174,0.00022412216186758834,30,307
