year,yearly_avg_temperature
2011,8.735720767550273
2012,8.352118976612683
2013,8.753051355358673
2014,9.232400379522563
2015,9.339019078791958
2016,8.970981841316558
2017,8.909749697241931
2018,9.286248288441397
2019,9.372443873425052
2020,9.98095624076579
2021,8.578597228387244
2022,9.366864730769844
2023,9.53481163962757
2024,7.593389390189978
