dataset_size,cluster_size,processing_time,cpu_usage,memory_usage,result_count
small,2,75.54839754104614,6.25,93.7734375,0
small,4,21.329689025878906,4.699999999999999,35.3203125,0
small,8,22.345022439956665,3.65,22.19140625,0
medium,2,51.461018562316895,4.466666666666666,0.140625,0
medium,4,45.988847494125366,3.3333333333333335,3.703125,0
medium,8,44.91521716117859,3.4,0.01953125,0
large,2,70.07191348075867,3.3999999999999995,0.12890625,0
large,4,64.98487973213196,3.55,2.9296875,0
large,8,64.62737441062927,3.75,0.03515625,0
