dataset_size,cluster_size,processing_time,cpu_usage,memory_usage
large,2,3.677821397781372,5.6,0.0
large,4,3.651581048965454,6.725,0.0
large,8,3.662877321243286,8.125,0.0
medium,2,2.7189297676086426,3.7000000000000006,0.0
medium,4,2.663020133972168,4.366666666666667,0.0
medium,8,2.659747838973999,8.033333333333333,0.0
small,2,6.331241846084595,4.15,12.2109375
small,4,1.7656912803649902,5.2,0.1640625
small,8,1.707549810409546,5.9,0.0
